x,y,z,yaw,velocity,change_flag
-0.2802,-0.8074,-2.9762,-1.5369,5,0
-0.2463,-1.8068,-2.9812,-1.5369,5,0
-0.2124,-2.8062,-2.9862,-1.5369,5,0
-0.1785,-3.8057,-2.9912,-1.5369,5,0
-0.1477,-4.7136,-2.9957,-1.5556,5,0
-0.1325,-5.7135,-2.9929,-1.5556,5,0
-0.1173,-6.7133,-2.9901,-1.5556,5,0
-0.1021,-7.7132,-2.9873,-1.5556,5,0
-0.0869,-8.7131,-2.9844,-1.5556,5,0
-0.0864,-8.745,-2.9844,-1.5548,5,0
-0.0704,-9.7449,-2.9843,-1.5548,5,0
-0.0545,-10.7448,-2.9843,-1.5548,5,0
-0.0385,-11.7447,-2.9843,-1.5548,5,0
-0.0225,-12.7445,-2.9843,-1.5548,5,0
-0.0066,-13.7444,-2.9843,-1.5548,5,0
0.0094,-14.7443,-2.9843,-1.5548,5,0
0.0254,-15.7442,-2.9843,-1.5548,5,0
0.0401,-16.664,-2.9843,-1.5652,5,0
0.0456,-17.6639,-2.9733,-1.5652,5,0
0.0512,-18.6638,-2.9624,-1.5652,5,0
0.0568,-19.6637,-2.9514,-1.5652,5,0
0.0624,-20.6637,-2.9404,-1.5652,5,0
0.0677,-21.6253,-2.9299,-1.568,5,0
0.0706,-22.6252,-2.9445,-1.568,5,0
0.0734,-23.6251,-2.9591,-1.568,5,0
0.0762,-24.6249,-2.9737,-1.568,5,0
0.0791,-25.6248,-2.9883,-1.568,5,0
0.0817,-26.5574,-3.0019,-1.5432,5,0
0.1093,-27.557,-2.9918,-1.5432,5,0
0.1369,-28.5566,-2.9816,-1.5432,5,0
0.1644,-29.5561,-2.9715,-1.5432,5,0
0.192,-30.5557,-2.9614,-1.5432,5,0
0.2195,-31.553,-2.9513,-1.5616,5,0
0.2288,-32.5529,-2.9463,-1.5616,5,0
0.238,-33.5529,-2.9414,-1.5616,5,0
0.2473,-34.5528,-2.9364,-1.5616,5,0
0.2565,-35.5528,-2.9315,-1.5616,5,0
0.2655,-36.5267,-2.9266,-1.5613,5,0
0.275,-37.5266,-2.926,-1.5613,5,0
0.2846,-38.5266,-2.9254,-1.5613,5,0
0.2941,-39.5265,-2.9248,-1.5613,5,0
0.3036,-40.5265,-2.9242,-1.5613,5,0
0.313,-41.508,-2.9236,-1.5587,5,0
0.3251,-42.5079,-2.9198,-1.5587,5,0
0.3373,-43.5078,-2.9161,-1.5587,5,0
0.3494,-44.5078,-2.9124,-1.5587,5,0
0.3616,-45.5077,-2.9087,-1.5587,5,0
0.3737,-46.5076,-2.905,-1.5587,5,0
0.3849,-47.4317,-2.9016,-1.5536,5,0
0.4021,-48.4316,-2.8948,-1.5536,5,0
0.4194,-49.4314,-2.8881,-1.5536,5,0
0.4366,-50.4312,-2.8814,-1.5536,5,0
0.4528,-51.3744,-2.875,-1.5606,5,0
0.463,-52.3743,-2.8814,-1.5606,5,0
0.4732,-53.3742,-2.8878,-1.5606,2,0
0.4735,-53.4,-2.8879,-1.5693,2,0
0.475,-54.3469,-2.9103,-1.6076,2,0
0.4396,-55.3089,-2.9036,-1.537,2,0
0.473,-56.2973,-2.8953,-1.5461,2,0
0.4973,-57.2796,-2.8809,-1.6172,2,0
0.4544,-58.2033,-2.8897,-1.6022,2,0
0.4235,-59.1883,-2.8985,-1.5866,2,0
0.408,-60.1704,-2.8921,-1.6373,2,0
0.3451,-61.1139,-2.9081,-1.6014,2,0
0.3159,-62.0667,-2.9266,-1.7127,2,0
0.1778,-63.0329,-2.9005,-1.6721,2,0
0.0796,-63.9992,-2.9173,-1.7822,2,0
-0.129,-64.9711,-2.932,-1.6311,2,0
-0.1874,-65.9376,-2.9433,-1.5757,2,0
-0.1921,-66.8937,-2.9431,-1.5502,2,0
-0.1723,-67.8529,-2.9489,-1.5461,2,0
-0.148,-68.8351,-2.9534,-1.4186,2,0
-0.001,-69.7935,-2.9502,-1.3947,2,0
0.1659,-70.732,-2.9564,-1.3547,2,0
0.3787,-71.7014,-2.9552,-1.3866,2,0
0.5519,-72.6307,-2.9548,-1.2377,2,0
0.8434,-73.4733,-2.9442,-1.2389,2,0
1.1693,-74.4187,-2.931,-1.2389,2,0
1.4296,-75.1739,-2.9205,-1.2103,2,0
1.7426,-76.0043,-2.9425,-1.1913,2,0
2.0695,-76.8241,-2.9363,-0.7549,2,0
2.6933,-77.4109,-2.9355,-0.7433,2,0
3.372,-78.0348,-2.9239,-0.7693,2,0
4.0904,-78.7303,-2.9076,-0.7693,2,0
4.8087,-79.4259,-2.8914,-0.7693,2,0
5.2949,-79.8967,-2.8805,-0.7296,2,0
6.0404,-80.5632,-2.8775,-0.7296,2,0
6.7859,-81.2298,-2.8746,-0.7296,2,0
7.5313,-81.8963,-2.8717,-0.7296,2,0
7.9553,-82.2755,-2.87,-0.5992,2,0
8.6807,-82.7709,-2.8564,-0.2673,2,0
9.5467,-83.008,-2.8437,-0.3172,2,0
10.4968,-83.3199,-2.8367,-0.3172,2,0
11.4469,-83.6318,-2.8297,-0.3172,2,0
12.0723,-83.8371,-2.8251,-0.1601,2,0
12.9434,-83.9778,-2.8147,-0.0895,2,0
13.8102,-84.0556,-2.8147,-0.0642,2,0
14.8068,-84.1197,-2.7619,-0.0642,2,0
15.5916,-84.1701,-2.7202,-0.0846,2,0
16.4737,-84.2449,-2.7054,0.0549,2,0
17.472,-84.19,-2.6853,0.0549,2,0
18.2377,-84.1479,-2.67,0.0158,2,0
19.1265,-84.1339,-2.6484,0.1116,2,0
19.9911,-84.037,-2.6429,0.5056,2,0
20.7455,-83.6194,-2.6233,0.6029,2,0
21.5034,-83.0976,-2.6022,0.5826,2,0
22.2581,-82.6003,-2.6015,0.6444,2,0
22.9732,-82.0629,-2.5824,0.7423,2,0
23.6012,-81.4869,-2.5635,0.8748,2,0
24.2424,-80.7195,-2.5608,0.8748,2,0
24.7371,-80.1273,-2.5587,0.8776,2,0
25.3367,-79.4055,-2.5489,0.8672,2,0
25.8869,-78.7571,-2.5643,0.936,2,0
26.4345,-78.0136,-2.5118,0.9228,2,0
27.038,-77.2163,-2.5123,0.9228,2,0
27.6416,-76.419,-2.5129,0.9228,2,0
28.0106,-75.9315,-2.5133,1.0241,2,0
28.5305,-75.0773,-2.5035,1.0241,2,0
29.0504,-74.2231,-2.4938,1.0241,2,0
29.3792,-73.6829,-2.4877,1.0298,2,0
29.872,-72.8625,-2.47,1.4258,2,0
30.0084,-71.9286,-2.4836,1.3606,2,0
30.1997,-71.0316,-2.4434,1.423,2,0
30.3376,-70.1054,-2.476,1.5143,2,0
30.3913,-69.1557,-2.4494,1.6036,2,0
30.3606,-68.2224,-2.461,1.6695,2,0
30.2701,-67.3088,-2.455,1.695,2,0
30.1566,-66.3997,-2.4507,1.6755,2,0
30.0542,-65.4247,-2.4447,1.6535,2,0
29.9718,-64.4299,-2.434,1.6809,2,0
29.8619,-63.436,-2.4375,1.6809,2,0
29.752,-62.442,-2.4411,1.6809,2,0
29.6422,-61.4481,-2.4446,1.6809,2,0
29.5652,-60.7521,-2.447,1.6622,2,0
29.474,-59.7564,-2.4571,1.6622,2,0
29.3931,-58.8733,-2.4659,1.6317,2,0
29.3323,-57.8751,-2.4596,1.6317,2,0
29.2799,-57.0153,-2.4541,1.6719,2,0
29.179,-56.0204,-2.4528,1.6719,2,0
29.0899,-55.142,-2.4517,1.5874,2,0
29.0733,-54.1422,-2.4538,1.5874,2,0
29.058,-53.222,-2.4559,1.6084,2,0
29.0204,-52.2228,-2.4563,1.6084,2,0
28.9875,-51.3494,-2.4566,1.6054,2,0
28.953,-50.35,-2.4533,1.6054,5,0
28.919,-49.3662,-2.4502,1.5887,5,0
28.9011,-48.3665,-2.4598,1.5887,5,0
28.8831,-47.3667,-2.4695,1.5887,5,0
28.8652,-46.3669,-2.4791,1.5887,5,0
28.8486,-45.4393,-2.4881,1.5984,5,0
28.821,-44.4397,-2.4839,1.5984,5,0
28.7934,-43.4401,-2.4797,1.5984,5,0
28.7658,-42.4405,-2.4756,1.5984,5,0
28.7382,-41.4409,-2.4714,1.5984,5,0
28.7107,-40.4413,-2.4672,1.5984,5,0
28.6831,-39.4417,-2.4631,1.5984,5,0
28.6555,-38.442,-2.4589,1.5984,5,0
28.6552,-38.4292,-2.4589,1.5984,5,0
